ROI,Foreground Blur Score,Background blur score,Brightness Score,Noise score,Simplicity score,Contrast score,Area Ratio,Rule of third score,Potrait mode,Landscape Mode
1,819.9538488,527.4066371,93.59654406,1.617109287,20.26175607,55.55055563,0.543822389,0.02509804,0,1
1,599.0775046,508.2658052,138.2084961,0.652032122,23.76946268,89.05078789,0.537664956,0.024235273,1,0
1,1251.114362,1298.029728,47.10546962,0.446780495,29.70322863,42.95831514,0.475142045,0.021196777,0,1
1,2006.995461,1959.789729,75.01389155,0.716461467,29.9360507,55.93192315,0.881474951,0.037828593,0,1
1,362.7426778,319.0755301,139.2029064,1.01384639,61.92676352,66.23968976,0.592061942,0.026588132,1,0
1,114.8079819,553.7172717,169.584691,0.729659494,33.94687814,41.41705722,0.004759271,0.000216238,0,1
1,972.5877307,1052.610262,101.0255729,0.758201782,14.91226818,70.53713446,0.243489583,0.01092507,1,0
1,3160.887255,3055.946074,59.25318313,1.060747259,14.42266096,48.69727154,0.7052011,0.030789891,0,1
1,1932.643582,1776.84974,81.08362474,2.235986826,32.2285427,37.57877293,0.007038225,0.00033419,1,0
1,671.3092467,671.2896546,130.5225681,2.057475281,27.191801,49.57508943,0.251924487,0.011408696,1,0
1,548.5468582,562.9227173,107.7022462,0.326980848,12.71386139,59.50236585,0.269121654,0.011567551,0,1
1,735.2917316,1483.006433,55.02585826,0.615604608,21.1440735,39.53216297,0.099426091,0.004574221,0,1
1,329.048659,1084.53024,110.5002012,2.349802351,38.2105817,43.08218305,0.026369751,0.001211242,0,1
1,419.1422276,216.7505158,86.57583275,1.180206089,29.33518277,81.36680197,0.767127991,0.032888129,1,1
1,1572.865248,869.381077,123.3781942,6.439316782,38.39856088,59.01792896,0.808921814,0.035595694,1,1
1,1543.488718,1624.543767,94.07598135,1.223779522,31.11220193,48.59373299,0.560508728,0.025845549,1,1
1,619.1442444,450.3298079,85.94953465,1.338158029,23.83314929,48.44489066,0.646616111,0.028683426,0,1
1,2217.723072,1442.435547,31.89587586,3.019808728,23.51966933,22.35910072,0.615322486,0.028623538,1,0
1,353.2551989,294.1501586,190.4028967,2.863730982,102.4827256,71.51433607,0.32749939,0.014686252,1,1
1,775.2369708,473.1929962,120.6913522,1.562927255,79.4883376,40.40382444,0.611588156,0.028718197,0,1
1,930.3753751,818.5287449,87.94534829,4.213005099,20.36886183,42.61433607,0.671295166,0.030470396,1,1
1,707.3222296,647.5798641,90.17146029,0.869349748,12.16497429,46.0643788,0.5440095,0.025584347,0,1
1,1743.349104,718.2013024,112.0691186,3.601303877,56.71884282,29.30455636,0.860325863,0.036812774,1,0
1,2018.863994,3515.190579,65.60680779,4.112511298,9.288340101,65.57334741,0.355390908,0.015682964,1,0
1,1249.012094,1348.025321,49.43105897,0.953320848,25.91150956,30.23104602,0.504152538,0.022174154,0,1
1,1026.344037,1094.68424,17.10031723,1.12869373,5.189914224,11.83732732,0.508224487,0.022805699,1,1
