ROI,Foreground Blur Score,Background blur score,Brightness Score,Noise score,Simplicity score,Contrast score,Area Ratio,Rule of third score,Potrait mode,Landscape Mode,Output
1,1028.706974,3715.315309,112.8873925,6.434095268,29.79074943,59.89277548,0.115483862,0.004945527,1,0,0
1,502.9788901,494.3170504,71.38118374,1.630869054,39.05225541,35.9701745,0.51946566,0.023158701,0,1,0
1,1136.882582,809.962033,103.0080878,1.686900605,32.79283018,65.54884772,0.446920956,0.022083524,0,1,1
1,1152.106315,824.917808,107.8014958,1.525855792,33.23779544,52.47455289,0.000853418,3.91E-05,0,1,1
1,677.4420771,852.9549359,163.3012408,2.144061447,33.64537822,50.93419333,0.185225096,0.008447068,1,0,0
1,1128.458799,700.2291729,99.49161548,3.453632134,25.30177156,43.81131327,0.284378052,0.013169569,0,1,1
1,449.3498808,404.3830013,109.1105119,0.394786784,44.25569436,72.01970043,0.641601563,0.02947541,0,1,0
1,1287.245078,1211.289426,81.21855341,3.193580647,20.40956812,49.16773382,0.388367887,0.017426904,0,1,0
1,790.8571216,372.9246111,139.619211,1.764771073,36.60313582,55.49758982,0.363883341,0.015513118,0,1,1
1,372.2193302,382.1796746,148.7866414,0.99904614,23.94793484,54.32808485,0.338670666,0.016602286,0,1,0
1,688.5215228,316.8041204,194.5367657,1.185712648,60.11290981,61.94741375,0.264678955,0.01146554,0,1,1
1,1337.853113,1340.742586,55.53133566,0.399461384,16.92084757,61.68577453,0.189960186,0.008975466,0,1,0
1,476.0613156,280.1376807,165.6891228,0.683494603,18.76748093,74.22589221,0.305709334,0.01501463,0,1,1
1,1291.143796,1426.204426,47.59945205,0.819230172,31.10317599,31.89283551,0.430809508,0.019987491,0,1,0
1,1865.727706,1855.572069,50.84158046,1.10304777,80.00123608,35.06080448,0.596111573,0.02627601,0,1,0
1,938.8068428,376.2911061,112.4421184,2.486875708,42.09063129,51.71440944,0.50030815,0.023919844,0,1,1
1,469.7097135,262.3213616,207.5675077,1.63011918,29.6953124,40.36007707,0.51830576,0.022652003,1,0,1
1,413.4825392,3339.925175,167.3037836,6.617709486,36.71021614,68.1002532,0.058425465,0.002544516,1,0,1
1,659.0607384,888.3790265,135.3867642,1.079731457,19.1801101,51.47192294,0.444286458,0.021114873,0,1,0
1,1740.5097,1721.325668,18.22692143,0.378659544,11.81920585,21.04656988,0.606452942,0.027277363,1,1,0
1,469.2995687,470.5519226,158.3878906,0.376723379,25.25794941,85.65881202,0.366836548,0.017681268,1,1,0
1,2368.752806,2305.907111,14.36413416,2.561970662,12.79749294,17.07614861,0.601087215,0.027014594,1,0,0
1,2129.645802,1620.821071,81.6169088,1.937856749,49.31923412,49.08501661,0.287353516,0.012547594,0,1,1
1,51.64084857,18.48188781,181.7094134,0.515842362,25.12849283,48.57977638,0.724609375,0.032710783,1,1,0
1,3532.988445,1851.056465,77.95767852,4.274333218,33.41802086,58.50899069,0.515686035,0.023927118,1,0,1
1,1337.596547,306.8606453,165.1355796,2.777278923,19.4961291,84.54391114,0.460622152,0.022110928,0,1,1
1,424.2682292,9427.203387,118.1568332,15.62959405,51.66017142,71.52195768,0.04451778,0.002021676,1,0,0
1,1428.928995,1556.105561,83.5804696,0.458447639,64.32669768,64.36346674,0.158590108,0.006739919,1,0,0
1,810.7177975,831.8234059,143.1134288,1.233506781,47.44567514,42.7162175,0.650405649,0.027667186,1,0,0
1,1050.412638,1080.738268,153.1639616,2.785037756,15.13446023,74.59062555,0.165100098,0.006895481,1,0,1
1,872.5189642,1042.207329,141.6824086,2.011419383,33.08141111,58.05773106,0.277740362,0.012003785,1,0,0
1,1020.010631,1097.750269,114.2951509,0.838570298,21.31536541,74.23567952,0.002823726,0.000101501,0,1,0
1,737.6722684,568.1270245,116.2767732,1.202033506,23.2916713,51.22916003,0.000528971,1.92E-05,0,1,1
1,667.6635375,674.1565258,118.5078574,0.917243307,0,58.56520459,0.550183105,0.024806461,1,0,0
1,746.4736572,990.2712428,101.8901009,0.639722122,12.23843866,40.56155667,0.101757813,0.004377704,1,0,0
1,564.2661892,560.057486,185.8456436,1.178454912,23.55676887,60.83414852,0.252641583,0.01110472,1,0,0
1,1832.891589,498.6534701,109.5370731,2.987971444,26.26330695,43.30488976,0.398448989,0.018820669,0,1,1
1,1113.827957,732.061738,140.3456118,1.842688186,33.0061085,67.70285866,0.200290724,0.009361759,0,1,1
